"county","party","candidate","votes","households"
Neshoba,Republican,Donald Trump,2249,10829
Gogebic,Democrat,Bernie Sanders,790,7070
Marshall,Democrat,Bernie Sanders,2308,11963
Marshall,Democrat,Bernie Sanders,738,5970
Kinney,Democrat,Hillary Clinton,211,1195
Mississippi,Democrat,Hillary Clinton,2017,17058
Minidoka,Republican,Ted Cruz,1163,6994
Garvin,Democrat,Bernie Sanders,1505,10294
Keya Paha,Republican,Donald Trump,203,354
Ascension,Democrat,Hillary Clinton,4221,38287
Mecklenburg,Democrat,Hillary Clinton,71265,366689
Jackson,Republican,Donald Trump,711,6541
Gratiot,Democrat,Bernie Sanders,1812,14787
Crawford,Republican,Donald Trump,1508,7731
Cobb,Democrat,Hillary Clinton,39277,261242
Butte,Republican,Ted Cruz,275,1022
Nowata,Democrat,Bernie Sanders,530,4050
Fairfield,Democrat,Hillary Clinton,3260,9408
